u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,org_geom,lanes,junction,bridge,access,service,geometry
974138966,974145114,0,83654603,,,path,,False,62.694,"LINESTRING (-0.9254999 51.5483704, -0.926343 51.5485778)",,,,,,"[(-0.9254999, 51.5483704), (-0.926343, 51.5485778)]"
974138966,974138855,0,83653476,,Lambridge Wood Road,residential,30 mph,False,213.59699999999998,"LINESTRING (-0.9254999 51.5483704, -0.9249379 51.548086, -0.9245177 51.5479154, -0.9243576999999999 51.5478583, -0.9240755 51.5477679, -0.9237315 51.5476916, -0.9233943 51.5476304, -0.9231025 51.5475821, -0.9227880000000001 51.5474982)",,,,,,"[(-0.9254999, 51.5483704), (-0.9249379, 51.548086), (-0.9245177, 51.5479154), (-0.9243577, 51.5478583), (-0.9240755, 51.5477679), (-0.9237315, 51.5476916), (-0.9233943, 51.5476304), (-0.9231025, 51.5475821), (-0.922788, 51.5474982)]"
974138991,6725981773,0,83653476,,Lambridge Wood Road,residential,30 mph,False,35.326,"LINESTRING (-0.9207751 51.5472854, -0.9202711 51.5472335)",,,,,,"[(-0.9207751, 51.5472854), (-0.9202711, 51.5472335)]"
974138991,8299389139,0,83653476,,Lambridge Wood Road,residential,30 mph,False,50.382,"LINESTRING (-0.9207751 51.5472854, -0.9214904 51.5473716)",,,,,,"[(-0.9207751, 51.5472854), (-0.9214904, 51.5473716)]"
974138991,6706189514,0,713345319,,,service,,False,62.534,"LINESTRING (-0.9207751 51.5472854, -0.9207755 51.5474357, -0.9208029 51.547719, -0.9205970999999999 51.5477104)",,,,,,"[(-0.9207751, 51.5472854), (-0.9207755, 51.5474357), (-0.9208029, 51.547719), (-0.9205971, 51.5477104)]"
974139000,6706189515,0,83653476,,Lambridge Wood Road,residential,30 mph,False,39.312,"LINESTRING (-0.9187418000000001 51.5477361, -0.9188162 51.5473856)",,,,,,"[(-0.9187418, 51.5477361), (-0.9188162, 51.5473856)]"
974139000,974156087,0,83653476,,Lambridge Wood Road,residential,30 mph,False,101.934,"LINESTRING (-0.9187418000000001 51.5477361, -0.9185971000000001 51.548066, -0.9179748 51.5483929, -0.917886 51.5484329)",,,,,,"[(-0.9187418, 51.5477361), (-0.9185971, 51.548066), (-0.9179748, 51.5483929), (-0.917886, 51.5484329)]"
974139000,974139230,0,83653492,,,footway,,False,93.595,"LINESTRING (-0.9187418000000001 51.5477361, -0.9188546 51.5476791, -0.9188975 51.547579, -0.9189512 51.5474922, -0.9190155 51.5473922, -0.9190798999999999 51.5473121, -0.9191657 51.5472521, -0.9193052 51.547212, -0.9195865 51.5471631)",,,,,,"[(-0.9187418, 51.5477361), (-0.9188546, 51.5476791), (-0.9188975, 51.547579), (-0.9189512, 51.5474922), (-0.9190155, 51.5473922), (-0.9190799, 51.5473121), (-0.9191657, 51.5472521), (-0.9193052, 51.547212), (-0.9195865, 51.5471631)]"
974139000,3690081834,0,364980614,,,bridleway,,False,519.7239999999999,"LINESTRING (-0.9187418000000001 51.5477361, -0.9189041999999999 51.5477244, -0.9192335 51.5478563, -0.9194887 51.5479249, -0.9196955 51.5479849, -0.9197920000000001 51.5480192, -0.9199627 51.5481029, -0.9202844 51.5481649, -0.9207025 51.5482529, -0.9209019000000001 51.5482829, -0.9210885 51.5482989, -0.9214475 51.5483352, -0.9216331 51.548348, -0.9219108 51.5483421, -0.922249 51.5483847, -0.9224708 51.5484007, -0.9226084 51.5484007, -0.9227919999999999 51.5484578, -0.9229663 51.5485263, -0.9230948 51.5485719, -0.923301 51.5487127, -0.9234267 51.5487673, -0.9236489 51.5488873, -0.9237396 51.5489382, -0.9241606 51.5491782, -0.9244389 51.549273, -0.9246132 51.5493187, -0.9247233 51.5493415, -0.9248059 51.54937, -0.9248794 51.5494328, -0.9249528 51.5494842, -0.9250537 51.5495241, -0.9251638 51.5495755, -0.9252314 51.5496279, -0.9252539 51.5496859)",,,,,,"[(-0.9187418, 51.5477361), (-0.9189042, 51.5477244), (-0.9192335, 51.5478563), (-0.9194887, 51.5479249), (-0.9196955, 51.5479849), (-0.919792, 51.5480192), (-0.9199627, 51.5481029), (-0.9202844, 51.5481649), (-0.9207025, 51.5482529), (-0.9209019, 51.5482829), (-0.9210885, 51.5482989), (-0.9214475, 51.5483352), (-0.9216331, 51.548348), (-0.9219108, 51.5483421), (-0.922249, 51.5483847), (-0.9224708, 51.5484007), (-0.9226084, 51.5484007), (-0.922792, 51.5484578), (-0.9229663, 51.5485263), (-0.9230948, 51.5485719), (-0.923301, 51.5487127), (-0.9234267, 51.5487673), (-0.9236489, 51.5488873), (-0.9237396, 51.5489382), (-0.9241606, 51.5491782), (-0.9244389, 51.549273), (-0.9246132, 51.5493187), (-0.9247233, 51.5493415), (-0.9248059, 51.54937), (-0.9248794, 51.5494328), (-0.9249528, 51.5494842), (-0.9250537, 51.5495241), (-0.9251638, 51.5495755), (-0.9252314, 51.5496279), (-0.9252539, 51.5496859)]"
974139008,974156087,0,83653476,,Lambridge Wood Road,residential,30 mph,False,22.151,"LINESTRING (-0.917625 51.5485484, -0.917886 51.5484329)",,,,,,"[(-0.917625, 51.5485484), (-0.917886, 51.5484329)]"
