osmid,y,x,street_count,highway,geometry
8378611064,51.5363713,-0.9154707,3,,POINT (-0.9154707 51.5363713)
8378973012,51.5372734,-0.9144427,3,,POINT (-0.9144427000000001 51.5372734)
8378996217,51.5374364,-0.9151033,3,,POINT (-0.9151033 51.5374364)
8378996233,51.5370235,-0.9153461,3,,POINT (-0.9153461000000001 51.5370235)
8378996236,51.5370241,-0.9150114,1,,POINT (-0.9150114 51.5370241)
8415006367,51.5261035,-0.9318652,3,,POINT (-0.9318651999999999 51.5261035)
8415006374,51.5260281,-0.9307882,1,,POINT (-0.9307882 51.5260281)
8415006380,51.5260313,-0.9313019,3,,POINT (-0.9313019 51.5260313)
8415006381,51.5261222,-0.9327147,3,,POINT (-0.9327147 51.5261222)
8415006382,51.5261712,-0.9334041,1,,POINT (-0.9334041 51.5261712)
8415006389,51.5256701,-0.9335769,1,,POINT (-0.9335769 51.5256701)
8461682305,51.5417587,-0.9019812,1,,POINT (-0.9019812 51.5417587)
8474568899,51.5361852,-0.914293,1,,POINT (-0.914293 51.5361852)
8474702051,51.5321284,-0.9094549,3,,POINT (-0.9094549 51.5321284)
8474702058,51.5320378,-0.9087897,1,,POINT (-0.9087897 51.5320378)
8474725386,51.5391397,-0.9174968,1,,POINT (-0.9174968 51.5391397)
8474725397,51.5402765,-0.9177061,1,,POINT (-0.9177061 51.5402765)
